Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
4-Aug-19,12.11,12.33,11.81,11.95,"253,636,013","842,787,101",12.07,0.002280058,"10,814.75"
3-Aug-19,11.67,12.12,11.65,12.06,"245,715,715","850,902,916",11.885,0.000773106,"10,725.14"
2-Aug-19,11.89,11.98,11.53,11.67,"256,869,659","823,225,890",11.755,0.00212562,"10,514.48"
1-Aug-19,11.74,11.88,11.38,11.88,"266,163,364","837,781,927",11.63,0.001601935,"10,184.47"
31-Jul-19,11.26,11.94,11.26,11.73,"303,077,876","827,295,742",11.6,0.001070318,"9,841.87"
30-Jul-19,11.28,11.4,11.03,11.25,"230,896,499","793,623,865",11.215,0.00247537,"9,569.55"
29-Jul-19,11.27,11.5,11.1,11.27,"244,505,932","795,250,895",11.3,0.002099269,"9,577.30"
28-Jul-19,11.35,11.49,10.81,11.25,"261,530,492","793,796,259",11.15,0.000922093,"9,413.93"
27-Jul-19,12,12.29,11.14,11.34,"276,870,039","799,674,684",11.715,0.002349343,"9,789.42"
26-Jul-19,11.97,12.08,11.68,12.01,"257,532,219","847,070,351",11.88,0.00301909,"9,817.25"
25-Jul-19,11.81,12.39,11.76,11.95,"307,694,366","843,200,153",12.075,0.001853077,"9,964.11"
24-Jul-19,11.27,12,10.87,11.81,"347,400,345","833,285,638",11.435,0.001375913,"9,761.56"
23-Jul-19,12.07,12.08,11.23,11.27,"325,503,669","794,983,895",11.655,0.001403186,"10,115.18"
22-Jul-19,12.96,13.07,11.7,12.08,"337,883,306","852,144,783",12.385,0.003072389,"10,403.36"
21-Jul-19,13.42,13.63,12.53,13,"357,555,200","916,839,610",13.08,0.003132664,"10,615.75"
20-Jul-19,13,13.78,12.84,13.44,"436,655,447","948,046,583",13.31,0.002588084,"10,749.97"
19-Jul-19,13.07,13.19,12.26,13.01,"466,922,131","917,902,810",12.725,0.002413606,"10,473.31"
18-Jul-19,10.79,13.38,10.6,13.08,"634,211,073","922,522,196",11.99,0.001880798,"10,056.82"
17-Jul-19,10.23,11.26,9.79,10.79,"483,187,310","761,161,962",10.525,0.00258753,"9,563.13"
16-Jul-19,12.34,12.59,10.16,10.25,"430,843,072","722,751,247",11.375,0.002853427,"10,222.37"
15-Jul-19,12.1,12.5,11.4,12.37,"495,949,483","872,296,558",11.95,0.001580529,"10,522.39"
14-Jul-19,14.19,14.29,12,12.09,"497,474,370","852,593,627",13.145,0.0015203,"10,842.89"
13-Jul-19,15.4,15.42,13.61,14.16,"485,291,918","999,127,719",14.515,0.003971028,"11,375.22"
12-Jul-19,14.62,15.51,14.39,15.4,"474,530,232","1,086,327,875",14.95,0.002209509,"11,542.32"
11-Jul-19,16.23,16.23,14.34,14.61,"523,791,811","1,030,535,909",15.285,0.002260073,"11,651.77"
10-Jul-19,17.27,17.43,15.58,16.23,"562,494,202","1,144,532,686",16.505,0.004760916,"12,420.26"
9-Jul-19,17.58,17.99,17.2,17.28,"479,207,011","1,219,160,692",17.595,0.002077483,"12,506.20"
8-Jul-19,17.22,17.64,16.89,17.57,"446,708,712","1,239,022,781",17.265,0.004480494,"11,869.60"
7-Jul-19,16.82,17.25,16.58,17.24,"472,904,349","1,216,041,948",16.915,0.002557489,"11,345.21"
6-Jul-19,17.02,17.47,16.76,16.82,"493,266,969","1,186,380,260",17.115,0.002624678,"11,301.76"
5-Jul-19,17.08,17.45,16.8,17.05,"492,532,481","1,202,705,209",17.125,0.001485591,"11,135.31"
4-Jul-19,18,18.08,17.09,17.1,"518,179,356","1,205,943,576",17.585,0.003097019,"11,586.33"
3-Jul-19,17.89,18.11,17.34,17.97,"627,606,939","1,267,888,564",17.725,0.003247384,"11,393.12"
2-Jul-19,16.86,18.21,16.08,17.86,"747,392,749","1,259,856,909",17.145,0.001899306,"10,325.04"
1-Jul-19,16.68,17.2,15.53,16.87,"678,020,978","1,190,105,626",16.365,0.001782435,"10,647.88"
30-Jun-19,18.48,18.55,16.71,16.71,"637,139,053","1,179,050,781",17.63,0.002355807,"11,488.70"
29-Jun-19,18.18,18.98,17.36,18.5,"721,851,191","1,304,809,784",18.17,0.005226731,"11,954.65"
28-Jun-19,16.95,18.63,16.89,18.14,"761,166,313","1,279,389,007",17.76,0.002039752,"11,679.84"
27-Jun-19,19.24,19.98,15.91,16.91,"848,551,821","1,193,066,117",17.945,0.003428855,"11,901.50"
26-Jun-19,19.56,20.83,17.74,19.21,"1,180,126,029","1,355,402,812",19.285,0.004870546,"12,776.05"
25-Jun-19,17.89,19.62,17.53,19.49,"924,494,266","1,374,479,349",18.575,0.004591487,"11,399.06"
24-Jun-19,16.78,18.3,16.39,17.89,"695,317,071","1,261,781,421",17.345,0.004560483,"10,838.17"
23-Jun-19,17.48,18.66,16.71,16.77,"719,167,135","1,183,242,524",17.685,0.004363418,"10,901.12"
22-Jun-19,14.04,18.76,14.01,17.48,"1,060,033,583","1,233,263,750",16.385,0.002081177,"10,632.20"
21-Jun-19,13.55,14.05,13.54,14.03,"413,219,528","989,637,750",13.795,0.003279643,"9,834.82"
20-Jun-19,13.76,13.78,13.24,13.55,"382,381,549","955,832,610",13.51,0.003424349,"9,413.45"
19-Jun-19,13.66,13.96,13.57,13.77,"354,372,890","971,158,950",13.765,0.001204507,"9,185.01"
18-Jun-19,14.22,14.25,13.39,13.67,"412,735,818","963,934,447",13.82,0.001656685,"9,176.64"
17-Jun-19,14.05,14.74,14.01,14.22,"430,208,305","1,002,848,130",14.375,0.003719482,"9,202.67"
16-Jun-19,14,14.52,13.83,14.05,"551,796,447","990,993,091",14.175,0.002225635,"9,075.22"
15-Jun-19,13.54,14.36,13.51,13.99,"600,008,307","987,007,577",13.935,0.00260395,"8,738.77"
14-Jun-19,13.04,13.54,12.61,13.54,"553,615,365","955,244,450",13.075,0.003655093,"8,447.02"
13-Jun-19,12.91,13.57,12.71,13.03,"626,954,350","919,459,300",13.14,0.003435698,"8,199.32"
12-Jun-19,12.33,13.02,12.16,12.93,"530,500,839","912,233,768",12.59,0.003432379,"8,029.51"
11-Jun-19,12.31,12.47,11.8,12.32,"470,455,806","868,895,183",12.135,0.001501017,"7,899.60"
10-Jun-19,11.53,12.44,11.41,12.31,"547,911,740","868,159,378",11.925,0.002299564,"7,809.32"
9-Jun-19,12.04,12.05,11.28,11.56,"445,779,064","815,128,353",11.665,0.001053692,"7,779.60"
8-Jun-19,12.25,12.46,11.76,12.04,"454,249,082","849,034,844",12.11,0.001800738,"7,957.25"
7-Jun-19,11.68,12.58,11.53,12.26,"536,119,345","864,970,451",12.055,0.002366345,"7,957.26"
6-Jun-19,11.59,11.88,11.15,11.69,"414,101,879","824,422,683",11.515,0.003000315,"7,754.41"
5-Jun-19,11.49,11.78,11.29,11.55,"527,658,995","814,411,121",11.535,0.002092857,"7,785.26"
4-Jun-19,12.62,12.62,11.09,11.48,"602,631,521","810,050,780",11.855,0.002962139,"7,887.74"
3-Jun-19,14.11,14.12,12.6,12.63,"572,506,400","890,724,928",13.36,0.003833952,"8,473.85"
2-Jun-19,13.74,14.21,13.65,14.13,"480,862,892","918,650,727",13.93,0.003438441,"8,685.27"
1-Jun-19,13.56,14.28,13.42,13.69,"653,423,818","889,836,388",13.85,0.001225441,"8,553.59"
31-May-19,12.71,13.64,12.34,13.57,"612,537,618","881,749,279",12.99,0.003792125,"8,379.61"
30-May-19,13.52,14.83,12.43,12.73,"854,878,660","827,740,905",13.63,0.001988518,"8,614.79"
29-May-19,12.67,14.25,11.97,13.52,"766,569,892","878,627,072",13.11,0.003399724,"8,619.29"
28-May-19,12.49,12.75,12.04,12.64,"509,743,018","821,578,684",12.395,0.001336737,"8,720.87"
27-May-19,12,12.73,11.97,12.46,"500,332,109","810,061,891",12.35,0.002412677,"8,787.94"
26-May-19,11.45,12.1,11.16,11.98,"391,679,153","778,932,350",11.63,0.003061022,"8,306.10"
25-May-19,11.54,11.75,11.39,11.48,"294,270,172","746,201,599",11.57,0.002794993,"8,041.96"
24-May-19,11.43,11.92,11.17,11.52,"356,910,019","749,093,468",11.545,0.003115677,"7,982.59"
23-May-19,11.24,11.53,10.81,11.46,"404,354,637","745,042,734",11.17,0.001406823,"7,738.50"
22-May-19,12.17,12.32,11.22,11.23,"440,457,314","729,799,338",11.77,0.003213033,"7,806.80"
21-May-19,12.06,12.53,11.73,12.16,"444,948,406","790,408,695",12.13,0.003329216,"7,952.76"
20-May-19,11.79,12.43,10.84,12.08,"598,743,070","785,089,671",11.635,0.0028918,"7,939.88"
19-May-19,10.76,12.03,10.67,11.8,"478,365,061","767,203,241",11.35,0.003161595,"7,764.95"
18-May-19,11.2,11.4,10.67,10.75,"427,137,843","698,785,719",11.035,0.002712962,"7,349.39"
17-May-19,12.01,12.13,10.68,11.21,"579,448,577","728,557,030",11.405,0.002953424,"7,483.64"
16-May-19,12.78,13.58,11.67,12,"758,758,086","779,684,864",12.625,0.001530004,"8,025.22"
15-May-19,11.03,12.84,11.01,12.8,"613,255,603","832,051,189",11.925,0.002142241,"8,057.77"
14-May-19,9.83,11.05,9.75,11.03,"573,663,143","717,127,919",10.4,0.002678552,"7,982.55"
13-May-19,9.33,10.08,9.23,9.82,"424,750,530","637,983,551",9.655,0.002394332,"7,472.85"
12-May-19,9.9,10.19,9.04,9.33,"423,375,082","606,248,645",9.615,0.00153047,"7,159.82"
11-May-19,8.81,10.25,8.76,9.85,"434,896,039","640,389,075",9.505,0.001790857,"6,854.35"
10-May-19,8.62,8.97,8.39,8.77,"333,056,924","569,998,455",8.68,0.001365233,"6,298.07"
9-May-19,9.02,9.18,8.51,8.63,"315,583,603","560,903,661",8.845,0.00125844,"6,082.68"
8-May-19,8.93,9.08,8.74,9.03,"261,453,876","587,076,055",8.91,0.002591288,"5,892.35"
7-May-19,9.15,9.43,8.94,8.94,"311,389,252","580,790,408",9.185,0.002266228,"5,864.79"
6-May-19,9.27,9.38,8.81,9.19,"329,097,747","597,143,255",9.095,0.001495229,"5,728.33"
5-May-19,9.44,9.59,9.19,9.28,"301,636,302","603,147,151",9.39,0.002431531,"5,770.95"
4-May-19,9.97,10.18,9.32,9.45,"319,356,152","613,946,589",9.75,0.003015458,"5,766.18"
3-May-19,9.86,10.22,9.77,9.99,"343,636,066","649,275,176",9.995,0.002658291,"5,678.04"
2-May-19,9.74,10.05,9.66,9.89,"270,734,263","642,756,373",9.855,0.001554024,"5,458.24"
1-May-19,9.76,9.93,9.51,9.74,"270,596,130","632,943,151",9.72,0.001631469,"5,382.83"
30-Apr-19,9.45,9.8,9.36,9.8,"282,448,203","637,069,377",9.58,0.002631821,"5,293.73"
29-Apr-19,9.33,9.89,9.27,9.43,"319,620,430","613,114,049",9.58,0.001361626,"5,263.88"
28-Apr-19,9.49,9.66,9.22,9.3,"237,357,918","604,582,832",9.44,0.000689353,"5,290.96"
27-Apr-19,9.39,9.7,9.25,9.49,"240,418,064","616,985,098",9.475,0.002349414,"5,272.20"
26-Apr-19,9.54,9.72,9.11,9.41,"292,271,242","611,391,746",9.415,0.002880923,"5,280.50"
25-Apr-19,9.94,10.37,9.5,9.56,"315,479,886","621,664,990",9.935,0.002403881,"5,361.79"
24-Apr-19,10.4,10.43,9.46,9.96,"331,587,896","647,220,443",9.945,0.001540968,"5,530.15"
23-Apr-19,10.82,11.1,10.39,10.4,"277,146,329","675,880,582",10.745,0.002735621,"5,511.61"
22-Apr-19,10.55,10.96,10.46,10.82,"251,517,856","703,602,585",10.71,0.002017468,"5,351.49"
21-Apr-19,10.92,11.04,10.26,10.55,"248,582,230","685,603,543",10.65,0.001641863,"5,308.64"
20-Apr-19,11.1,11.17,10.84,10.95,"211,255,816","711,516,019",11.005,0.002895622,"5,327.19"
19-Apr-19,11.28,11.3,10.9,11.1,"225,706,881","721,495,269",11.1,0.001692246,"5,285.01"
18-Apr-19,11,11.4,10.97,11.27,"245,059,781","732,560,017",11.185,0.003047642,"5,285.25"
17-Apr-19,10.96,11.18,10.84,11.01,"237,001,160","715,540,598",11.01,0.001184475,"5,246.75"
16-Apr-19,10.74,11.12,10.64,10.96,"206,588,825","712,582,834",10.88,0.001596023,"5,147.07"
15-Apr-19,11.3,11.41,10.58,10.73,"234,875,496","697,165,836",10.995,0.002776582,"5,110.34"
14-Apr-19,11.09,11.36,10.84,11.3,"213,128,800","734,427,001",11.1,0.003040221,"5,118.80"
13-Apr-19,11.31,11.38,11,11.12,"203,343,059","722,600,869",11.19,0.002906822,"5,094.36"
12-Apr-19,11.24,11.58,10.73,11.31,"244,485,325","735,241,823",11.155,0.003047981,"5,029.56"
11-Apr-19,12.48,12.48,10.7,11.24,"316,529,973","730,876,453",11.59,0.00296205,"5,185.77"
10-Apr-19,12.17,12.78,12.14,12.48,"264,481,028","810,996,447",12.46,0.003608754,"5,307.52"
9-Apr-19,12.72,12.72,11.96,12.19,"257,000,755","792,655,383",12.34,0.002344278,"5,228.67"
